field1,field2,field3
-20,-19,1033
-18,-16,1033
-19,-20,1036
-20,-18,1035
-18,-19,1030
-20,-23,1033
-17,-16,1035
-19,-20,1032
-17,-23,1031
-17,-21,1032
-18,-20,1032
-20,-21,1035
-19,-15,1037
-21,-20,1037
-15,-22,1031
-18,-20,1038
-16,-19,1031
-17,-19,1037
-15,-18,1031
-19,-22,1036
-15,-21,1030
-16,-24,1033
-17,-22,1029
-14,-18,1040
-19,-19,1041
-20,-22,1033
-21,-20,1037
-19,-17,1032
-19,-15,1039
-18,-20,1033
-19,-23,1035
-16,-16,1037
-16,-18,1031
-17,-24,1031
-19,-20,1029
-14,-20,1033
-16,-21,1033
-19,-18,1030
-18,-22,1035
-20,-21,1037
-15,-21,1032
-21,-21,1033
-16,-23,1033
-22,-19,1032
-15,-15,1027
-24,-22,1034
-23,-21,1035
-19,-20,1028
-16,-18,1032
-16,-21,1028
-21,-22,1033
-14,-18,1032
-19,-21,1030
-15,-22,1038
-21,-20,1030
-20,-22,1032
-16,-21,1040
-14,-22,1030
-19,-18,1031
-17,-20,1034
-19,-21,1032
-16,-22,1032
-13,-21,1034
-18,-18,1030
-20,-23,1031
-17,-21,1037
-17,-19,1038
-21,-20,1034
-18,-19,1031
-19,-18,1031
-18,-19,1043
-18,-21,1033
-19,-19,1032
-17,-23,1029
-15,-20,1030
-18,-22,1034
-22,-21,1038
-11,-20,1024
-19,-18,1037
-18,-28,1036
-17,-21,1034
-18,-21,1034
-14,-21,1032
-14,-16,1036
-17,-24,1029
-14,-24,1037
-21,-21,1034
-16,-21,1031
-21,-20,1032
-17,-22,1029
-15,-18,1035
-20,-20,1036
-19,-18,1030
-14,-25,1032
-13,-22,1031
-19,-19,1036
-19,-24,1034
-20,-18,1035
-20,-22,1036
-19,-21,1034
-16,-21,1033
-22,-18,1036
-18,-24,1037
-17,-19,1031
-17,-19,1031
-21,-19,1029
-19,-22,1043
-17,-22,1033
-18,-19,1031
-20,-23,1031
-14,-24,1032
-18,-19,1032
-20,-23,1033
-17,-18,1027
-16,-21,1031
-16,-19,1036
-22,-20,1032
-20,-21,1030
-18,-19,1040
-17,-22,1030
-19,-21,1035
-18,-22,1031
-17,-22,1035
-19,-24,1038
-12,-19,1027
-16,-18,1030
-21,-21,1036
-17,-23,1032
-18,-21,1031
-18,-16,1036
-12,-22,1032
-25,-18,1031
-20,-22,1038
-17,-19,1028
-18,-20,1033
-23,-24,1029
-22,-19,1030
-16,-24,1037
-18,-25,1032
-17,-20,1030
-15,-27,1040
-17,-22,1033
-17,-20,1035
-14,-23,1030
-14,-22,1032
-15,-27,1032
-19,-20,1034
-20,-22,1029
-17,-23,1041
-17,-19,1031
-19,-21,1031
-13,-22,1032
-16,-19,1032
-23,-20,1036
-13,-22,1029
-17,-19,1034
-20,-20,1032
-18,-17,1032
-18,-17,1029
-20,-24,1030
-19,-19,1037
-19,-22,1029
-15,-21,1035
-21,-20,1030
-20,-22,1033
-16,-19,1035
-19,-19,1029
-15,-20,1037
-21,-20,1030
-18,-21,1028
-19,-16,1037
-16,-19,1033
-18,-17,1036
-18,-23,1034
-18,-20,1036
-15,-23,1030
-19,-23,1027
-14,-19,1032
-17,-19,1030
-20,-18,1035
-19,-15,1032
-20,-19,1031
-14,-19,1034
-19,-19,1038
-12,-18,1031
-19,-20,1036
-17,-19,1034
-18,-21,1027
-21,-22,1041
-21,-19,1034
-18,-18,1033
-21,-17,1035
-21,-18,1034
-18,-21,1030
-17,-21,1037
-17,-22,1038
-19,-21,1027
